"legacy_path","source_group","extension","size_mb","migration_status","target_path","used_by","role","alt_pt_br"
"chacara/auditorio.jpg","chacara",".jpg","0,28","legacy","","","",""
"chacara/auditorio.mp4","chacara",".mp4","0,92","legacy","","","",""
"chacara/banheiro.jpg","chacara",".jpg","0,25","legacy","","","",""
"chacara/barracao dentro.jpg","chacara",".jpg","0,28","legacy","","","",""
"chacara/barracao fora.jpg","chacara",".jpg","0,34","legacy","","","",""
"chacara/barracao.mp4","chacara",".mp4","0,7","legacy","","","",""
"chacara/bosuqe baixo.jpeg","chacara",".jpeg","0,47","legacy","","","",""
"chacara/bosuqe baixo.mp4","chacara",".mp4","0,74","legacy","","","",""
"chacara/bosuqe capela.mp4","chacara",".mp4","2,54","legacy","","","",""
"chacara/bosuqe chapeu.jpg","chacara",".jpg","0,5","legacy","","","",""
"chacara/capela bosque.mp4","chacara",".mp4","2,54","legacy","","","",""
"chacara/cozinha.mp4","chacara",".mp4","0,97","legacy","","","",""
"chacara/estrada entrada.jpg","chacara",".jpg","0,39","legacy","","","",""
"chacara/fornos.jpg","chacara",".jpg","0,43","legacy","","","",""
"chacara/frente bosuqe.jpg","chacara",".jpg","0,5","legacy","","","",""
"chacara/frentre.mp4","chacara",".mp4","1,54","legacy","","","",""
"chacara/igreja lado 2.jpg","chacara",".jpg","0,36","legacy","","","",""
"chacara/igreja lado.jpg","chacara",".jpg","0,35","legacy","","","",""
"chacara/igreja.jpg","chacara",".jpg","0,34","legacy","","","",""
"chacara/igreja.mp4","chacara",".mp4","0,76","legacy","","","",""
"chacara/jaseus bosuqe.jpg","chacara",".jpg","0,47","legacy","","","",""
"chacara/lanchonete.jpg","chacara",".jpg","0,28","legacy","","","",""
"chacara/livraria.jpg","chacara",".jpg","0,3","legacy","","","",""
"chacara/mesa cozinha.jpg","chacara",".jpg","0,38","legacy","","","",""
"chacara/nossa senhora.jpg","chacara",".jpg","0,46","legacy","","","",""
"chacara/pia banheiro.jpg","chacara",".jpg","0,24","legacy","","","",""
"chacara/pia cozinha.jpg","chacara",".jpg","0,19","legacy","","","",""
"chacara/praça empe.jpg","chacara",".jpg","0,51","legacy","","","",""
"chacara/praça.jpg","chacara",".jpg","0,55","legacy","","","",""
"chacara/quadro.jpg","chacara",".jpg","0,23","legacy","","","",""
"chacara/quarto 1.jpg","chacara",".jpg","0,19","legacy","","","",""
"chacara/são jose 2.jpg","chacara",".jpg","0,29","legacy","","","",""
"chacara/são jose grande.jpg","chacara",".jpg","0,25","legacy","","","",""
"chacara/são jose incio.jpg","chacara",".jpg","0,36","legacy","","","",""
"hallel/abarço2.jpeg","hallel",".jpeg","0,19","legacy","","","",""
"hallel/abraço.jpeg","hallel",".jpeg","0,19","legacy","","","",""
"hallel/cruz.jpeg","hallel",".jpeg","0,16","legacy","","","",""
"hallel/felipe poster.png","hallel",".png","2,17","legacy","","","",""
"hallel/festa junina.jpg","hallel",".jpg","0,24","legacy","","","",""
"hallel/ganhadores.jpg","hallel",".jpg","0,35","legacy","","","",""
"hallel/hallel 2026 poster.png","hallel",".png","2,27","legacy","","","",""
"hallel/lual.mp4","hallel",".mp4","1,52","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.34.27 PM.jpeg","hallel",".jpeg","0,21","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.34.28 PM (1).jpeg","hallel",".jpeg","0,3","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.34.28 PM (2).jpeg","hallel",".jpeg","0,23","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.34.28 PM (3).jpeg","hallel",".jpeg","0,25","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.34.28 PM.jpeg","hallel",".jpeg","0,19","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.34.29 PM (2).jpeg","hallel",".jpeg","0,24","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.34.29 PM (3).jpeg","hallel",".jpeg","0,3","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.34.30 PM (1).jpeg","hallel",".jpeg","0,18","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.34.30 PM.jpeg","hallel",".jpeg","0,21","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.37.00 PM (1).jpeg","hallel",".jpeg","0,27","legacy","","","",""
"hallel/WhatsApp Image 2026-01-10 at 5.37.00 PM.jpeg","hallel",".jpeg","0,22","legacy","","","",""
"hallel/WhatsApp Video 2026-01-10 at 5.36.56 PM.mp4","hallel",".mp4","1,85","legacy","","","",""
"hallel/WhatsApp Video 2026-01-10 at 5.36.58 PM.mp4","hallel",".mp4","1,43","legacy","","","",""
"hallel/WhatsApp Video 2026-01-10 at 5.37.18 PM.mp4","hallel",".mp4","1,2","legacy","","","",""
"img/5efd3ca4-c068-4eff-8082-c2292097ceea-removebg-preview.png","img",".png","0,13","legacy","","","",""
"img/amigos.jpg","img",".jpg","0,47","legacy","","","",""
"img/anunciat.png","img",".png","9,26","legacy","","","",""
"img/ariel terceiro elo.png","img",".png","0,14","legacy","","","",""
"img/banner festa são jose.png","img",".png","4,17","legacy","","","",""
"img/banner principal site.png","img",".png","1,21","legacy","","","",""
"img/bm dia.jpg","img",".jpg","0,12","legacy","","","",""
"img/c5fca06c-530a-4dbe-8ccc-3e4338d590aa-removebg-preview.png","img",".png","0,28","legacy","","","",""
"img/caminho.jpg","img",".jpg","0,23","legacy","","","",""
"img/capela.png","img",".png","1,9","legacy","","","",""
"img/Captura de tela 2026-01-06 131201.png","img",".png","0,95","legacy","","","",""
"img/consagrados de vida.jpg","img",".jpg","0,16","legacy","","","",""
"img/consagrados.jpg","img",".jpg","0,56","legacy","","","",""
"img/download.jpg","img",".jpg","0,44","legacy","","","",""
"img/download-removebg-preview (1).png","img",".png","0,25","legacy","","","",""
"img/download-removebg-preview (2).png","img",".png","0,32","legacy","","","",""
"img/download-removebg-preview (5).png","img",".png","0,34","legacy","","","",""
"img/download-removebg-preview.png","img",".png","0,22","legacy","","","",""
"img/edsd.png","img",".png","0,12","legacy","","","",""
"img/grupo.jpg","img",".jpg","0,45","legacy","","","",""
"img/hallel.jpg","img",".jpg","0,08","legacy","","","",""
"img/irany conf.png","img",".png","7,07","legacy","","","",""
"img/irany cruz.png","img",".png","0,97","legacy","","","",""
"img/irany_2-removebg-preview.png","img",".png","0,23","legacy","","","",""
"img/iray foto.png","img",".png","0,21","legacy","","","",""
"img/live especial.jpg","img",".jpg","0,1","legacy","","","",""
"img/live niver.jpg","img",".jpg","0,09","legacy","","","",""
"img/MISES LOJA.png","img",".png","3,76","legacy","","","",""
"img/missa 2.jpg","img",".jpg","0,32","legacy","","","",""
"img/missa.jpg","img",".jpg","0,08","legacy","","","",""
"img/missionario 3.jpg","img",".jpg","0,28","legacy","","","",""
"img/missionarios 2.jpg","img",".jpg","0,08","legacy","","","",""
"img/missionarios veternaros.jpg","img",".jpg","0,23","legacy","","","",""
"img/missionarios.png","img",".png","0,23","legacy","","","",""
"img/novo poster.png","img",".png","1,76","legacy","","","",""
"img/pentecostes.jpg","img",".jpg","0,11","legacy","","","",""
"img/pessoa ligand.jpg","img",".jpg","0,05","legacy","","","",""
"img/poster novo.png","img",".png","0,23","legacy","","","",""
"img/posternovo2.png","img",".png","0,28","legacy","","","",""
"img/qrcode.jpg","img",".jpg","0","legacy","","","",""
"img/retiros.png","img",".png","0,33","legacy","","","",""
"img/robson milaho fund.png","img",".png","1,07","legacy","","","",""
"img/são josé3.png","img",".png","1,31","legacy","","","",""
"img/socio luana.jpg","img",".jpg","0,17","legacy","","","",""
"img/socio.jpg","img",".jpg","0,23","legacy","","","",""
"img/socio3.jpg","img",".jpg","0,22","legacy","","","",""
"img/socio4.jpg","img",".jpg","0,15","legacy","","","",""
"img/socio5.jpg","img",".jpg","0,28","legacy","","","",""
"img/socios7.jpg","img",".jpg","0,31","legacy","","","",""
"img/tarila mialho 2.png","img",".png","0,96","legacy","","","",""
"img/terço.jpg","img",".jpg","0,1","legacy","","","",""
"img/text29.png","img",".png","0,01","legacy","","","",""
"img/voca.png","img",".png","0,22","legacy","","","",""
"imgcaminho/11.jpg","imgcaminho",".jpg","0,55","legacy","","","",""
"imgcaminho/12.jpg","imgcaminho",".jpg","0,68","legacy","","","",""
"imgcaminho/13.jpg","imgcaminho",".jpg","0,36","legacy","","","",""
"imgcaminho/14.jpg","imgcaminho",".jpg","0,42","legacy","","","",""
"imgcaminho/15.jpg","imgcaminho",".jpg","0,4","legacy","","","",""
"imgcaminho/16.jpg","imgcaminho",".jpg","0,36","legacy","","","",""
"imgcaminho/cmh2.jpg","imgcaminho",".jpg","0,15","legacy","","","",""
"imgcaminho/cmn1.jpg","imgcaminho",".jpg","0,23","legacy","","","",""
"imgcaminho/cmn10.jpg","imgcaminho",".jpg","0,63","legacy","","","",""
"imgcaminho/cmn3.jpg","imgcaminho",".jpg","0,23","legacy","","","",""
"imgcaminho/cmn7.jpg","imgcaminho",".jpg","0,7","legacy","","","",""
"imgcaminho/cmnh4.jpg","imgcaminho",".jpg","0,51","legacy","","","",""
"imgcaminho/cmnh5.jpg","imgcaminho",".jpg","0,28","legacy","","","",""
"imgcaminho/cmnh6.jpg","imgcaminho",".jpg","0,59","legacy","","","",""
"imgcaminho/cmnh9.jpg","imgcaminho",".jpg","0,5","legacy","","","",""
"imgcaminho/kids.jpg","imgcaminho",".jpg","0,21","legacy","","","",""
"imgcaminho/kids2.jpg","imgcaminho",".jpg","0,48","legacy","","","",""
